s
8
12
19
9
15
18
20
24
21
21
24
25
7
9
22
18
5
16
6
8
2
26
20
10
6
22
7
21
3
21
24
4
26
12
24
3
25
20
11
7
6
9
6
16
4
13
26
25
18
22
13
1
10
8
4
8
11
23
7
24
15
22
19
26
24
19
22
17
26
7
15
4
13
4
19
9
11
18
12
12
9
4
17
9
26
21
16
8
10
13
21
24
13
25
6
9
15
3
9
19
8
21
9
5
26
6
15
13
24
15
13
1
11
16
9
5
16
11
4
19
17
19
2
20
19
2
5
25
10
17
22
2
12
13
24
10
4
9
4
21
3
10
15
15
20
22
7
16
3
21
7
24
2
8
5
23
24
22
23
20
16
9
15
1
1
22
17
14
14
8
21
25
12
20
16
24
8
6
12
12
2
5
24
11
5
26
10
12
18
4
6
25
17
11
10
7
20
17
12
12
15
26
11
9
23
9
3
14
17
13
8
3
22
9
25
3
19
6
25
3
21
23
3
19
6
18
5
25
25
20
5
8
23
18
21
19
24
6
10
13
17
10
22
20
25
10
6
22
1
13
9
2
21
21
6
5
18
15
17
7
10
2
11
19
1
1
9
4
17
5
5
24
7
27
8
19
16
16
12
7
7
24
28
15
19
15
35
2
11
33
11
3
18
21
25
27
7
15
7
29
25
15
11
22
23
16
25
32
7
17
30
33
6
12
18
17
30
12
29
28
1
17
14
7
8
18
27
33
32
12
8
26
22
28
19
33
22
34
1
10
23
9
22
19
10
25
35
15
22
5
15
33
10
14
26
27
35
35
17
28
11
15
34
17
16
12
16
19
20
28
18
31
7
13
26
16
23
27
13
18
35
27
19
31
3
9
24
24
24
29
29
16
3
9
35
26
14
11
35
35
26
7
30
23
15
24
1
25
18
31
22
33
1
34
26
32
20
12
21
8
20
29
29
24
17
21
15
14
9
10
30
19
13
2
4
34
3
1
29
24
7
20
2
29
25
25
34
22
14
23
18
32
8
1
34
27
17
25
29
17
10
7
10
9
32
22
17
10
29
13
5
28
4
18
5
17
5
23
13
19
20
33
24
11
20
13
19
23
23
20
13
32
15
5
6
7
6
17
6
27
11
4
16
33
28
17
1
32
19
32
14
2
25
26
11
32
16
27
17
18
5
2
20
28
33
20
24
3
27
16
31
15
16
29
12
1
16
21
29
17
29
29
3
12
34
16
18
9
35
35
7
26
25
20
14
4
11
3
14
28
21
12
3
6
34
26
20
13
32
20
25
5
33
4
10
35
18
28
35
10
8
10
33
23
1
6
29
29
22
28
23
19
1
21
1
12
18
4
13
16
20
3
13
23
29
33
22
6
30
14
26
18
27
27
33
14
14
32
30
2
22
1
23
29
33
29
16
29
2
2
18
6
27
33
8
6
30
24
5
12
35
14
7
32
5
11
11
33
7
35
13
5
7
28
1
25
24
2
34
14
19
18
33
19
9
37
8
22
28
25
11
28
8
12
26
36
38
6
13
2
1
18
31
17
31
8
26
13
11
5
24
13
2
29
14
39
36
37
4
38
6
11
19
33
30
17
25
8
6
8
32
26
12
12
18
29
8
29
21
31
11
23
36
16
16
31
15
24
3
5
19
27
7
39
11
15
23
37
27
9
8
9
3
8
21
6
10
29
36
24
19
30
5
36
2
6
23
32
31
27
24
7
36
30
24
12
14
18
23
16
22
2
39
4
1
5
29
10
33
33
39
15
34
17
11
2
35
24
25
30
30
15
13
34
33
20
38
19
13
23
26
39
31
29
30
36
15
2
27
25
3
6
4
4
3
27
25
10
39
6
30
5
25
38
10
32
29
27
20
38
31
11
20
24
5
20
15
20
34
33
4
12
10
7
9
8
8
1
15
23
30
12
32
15
1
34
4
24
